,Average Training loss
651,91.03231028747558
652,91.01105004882812
653,91.02576484680176
654,91.00312480163574
655,91.0207989807129
656,91.01886633300781
657,90.9918420715332
658,91.00367402648926
659,91.0019842224121
660,91.00392755126953
661,91.00758291625976
662,90.9705528717041
663,90.95667654418945
664,90.98341410827636
665,90.98491004943848
666,90.97711654663085
667,90.95949423217773
668,90.95204405212402
669,90.96590615844727
670,90.97778065490722
671,90.95992395019532
672,90.96514755249024
673,90.93686920166016
674,90.9285313873291
675,90.95663781738281
676,90.93545617675781
677,90.91378118896485
678,90.92489366149903
679,90.89754019165039
680,90.94036740112304
681,90.92485408020019
682,90.90080960083007
683,90.92528732299805
684,90.90727296447754
685,90.92797366333008
686,90.89308520507812
687,90.88516638183594
688,90.90034503173828
689,90.87629875183106
690,90.89249719238282
691,90.8866012878418
692,90.90766479492187
693,90.88524461364746
694,90.87310829162598
695,90.88838290405273
696,90.8771237335205
697,90.86173828125
698,90.84655453491212
699,90.86132536315918
700,90.83514739990234
701,90.8542891998291
702,90.8444214630127
703,90.84109370422364
704,90.8529781036377
705,90.85978979492188
706,90.85037106323242
707,90.83527282714844
708,90.81350624084473
709,90.8105170135498
710,90.8331934967041
711,90.8179340057373
712,90.81336337280274
713,90.8037241973877
714,90.8027565460205
715,90.7986354522705
716,90.80846925354004
717,90.7960008392334
718,90.7849744873047
719,90.81023561096191
720,90.78089318847657
721,90.7901224975586
722,90.79575856018066
723,90.79503468322754
724,90.75789248657226
725,90.77216909790039
726,90.79093745422364
727,90.76963287353516
728,90.77558416748047
729,90.75177383422852
730,90.77187980651856
731,90.75749998474122
732,90.75756170654297
733,90.76088786315918
734,90.75526222229004
735,90.75875274658203
736,90.76700358581543
737,90.74646971130372
738,90.72268225097656
739,90.73545680236816
740,90.73314431762695
741,90.75615267944336
742,90.74031594848633
743,90.73462187194824
744,90.74751112365723
745,90.73419577026367
746,90.72643672180176
747,90.70637254333496
748,90.68847254943847
749,90.70368064880371
750,90.72846504211425
751,90.69432789611817
752,90.70053454589844
753,90.71509794616699
754,90.69205508422851
755,90.716404006958
756,90.68839567565918
757,90.68558058166504
758,90.69335470581055
759,90.68606138610839
760,90.70551083374023
761,90.64096826171875
762,90.68685844421387
763,90.65789875793457
764,90.68957653808594
765,90.64272448730469
766,90.66232057189941
767,90.66312309265136
768,90.6450154876709
769,90.66954081726074
770,90.67049085998535
771,90.63706315612794
772,90.64849659729003
773,90.62509921264649
774,90.62509370422363
775,90.63339360046386
776,90.64713809204102
777,90.63737966918946
778,90.60301081848145
779,90.64596504211426
780,90.62169819641113
781,90.63352383422851
782,90.61255531311035
783,90.61157092285156
784,90.60293101501465
785,90.61425549316407
786,90.62166603088379
787,90.6195850830078
788,90.60009870910645
789,90.58456047058105
790,90.60491513061524
791,90.584894241333
792,90.59718913269043
793,90.5748133392334
794,90.58503073120117
795,90.59638000488282
796,90.59784910583497
797,90.58031440734864
798,90.58798179626464
799,90.58756338500976
800,90.57005256652832
801,90.57501275634766
802,90.58564207458497
803,90.5714190826416
804,90.53660308837891
805,90.57161351013184
806,90.55605012512207
807,90.55036026000977
808,90.54361668395997
809,90.53492027282715
810,90.56532853698731
811,90.56710322570801
812,90.53837738037109
813,90.5452953338623
814,90.54443807983398
815,90.55319888305664
816,90.54061038208008
817,90.53037408447265
818,90.53921656799317
819,90.53710945129394
820,90.5151682434082
821,90.52497560119629
822,90.52132754516602
823,90.50564506530762
824,90.49509397888184
825,90.51023832702637
826,90.5160574798584
827,90.50346467590332
828,90.50096037292481
829,90.48494276428222
830,90.48667100524902
831,90.51928959655761
832,90.49033615112305
833,90.50831782531738
834,90.4823971862793
835,90.48157437133789
836,90.48281483459472
837,90.47683247375488
838,90.4580317993164
839,90.5012601928711
840,90.48164636230469
841,90.45597058105469
842,90.46438070678711
843,90.45077006530762
844,90.46296771240235
845,90.47309080505372
846,90.46600080871582
847,90.44514274597168
848,90.45919358825684
849,90.46761029052735
850,90.46156750488281
851,90.46094387817382
852,90.46593496704102
853,90.42111061096192
854,90.44729997253418
855,90.44190795898437
856,90.45064794921875
857,90.42377850341796
858,90.45833309936523
859,90.43798489379883
860,90.43057426452637
861,90.41610717773438
862,90.42463252258301
863,90.42390579223633
864,90.41306121826172
865,90.44374931335449
866,90.4263405303955
867,90.4239069519043
868,90.39837716674805
869,90.38250895690918
870,90.42356828308105
871,90.3707488861084
872,90.38827001953125
873,90.4143184814453
874,90.39129542541504
875,90.39498106384278
876,90.37528723144531
877,90.38278100585937
878,90.38416412353516
879,90.3770460357666
880,90.38264363098145
881,90.40387754821778
882,90.36945700073242
883,90.36435331726074
884,90.36199761962891
885,90.37689198303222
886,90.37604814147949
887,90.35420167541504
888,90.35737989807129
889,90.36030688476562
890,90.34377783203125
891,90.38940397644043
892,90.3395545654297
893,90.33806242370605
894,90.35543559265136
895,90.34565608215333
896,90.34618922424316
897,90.35662062072754
898,90.3457220916748
899,90.33407055664063
900,90.33976824951172
901,90.33756492614746
902,90.32678735351563
903,90.35707107543945
904,90.3431564025879
905,90.32380479431153
906,90.33480474853516
907,90.3259228363037
908,90.30520709228516
909,90.3100265045166
910,90.32658633422851
911,90.29510920715332
912,90.29902848815918
913,90.2895785522461
914,90.28662916564942
915,90.31032818603515
916,90.29054721069336
917,90.31750831604003
918,90.27970561218261
919,90.29058081054687
920,90.28474813842773
921,90.29596472167968
922,90.2720493774414
923,90.27950938415528
924,90.29815734863281
925,90.25806503295898
926,90.26808673095704
927,90.2944409942627
928,90.27473391723633
929,90.26720997619628
930,90.27082772827148
931,90.25781991577148
932,90.26879830932617
933,90.25652239990234
934,90.28306072998046
935,90.26407371520996
936,90.27812660217285
937,90.27501095581054
938,90.24287033081055
939,90.25404953002929
940,90.25964813232422
941,90.23003663635254
942,90.24061256408692
943,90.23419802856445
944,90.22282205200196
945,90.24771195983887
946,90.23629315185546
947,90.24143228149414
948,90.24081661987304
949,90.22782507324219
950,90.23244670104981
951,90.21353927612304
952,90.22447572326661
953,90.22676402282715
954,90.20517355346679
955,90.21558247375488
956,90.22913610839844
957,90.21038595581055
958,90.2166795349121
959,90.2123791809082
960,90.2070527191162
961,90.19661563110351
962,90.19789253234863
963,90.20795692443848
964,90.17509722900391
965,90.20661093139648
966,90.20344091796875
967,90.21033152770995
968,90.19734718322754
969,90.18901031494141
970,90.20666790771485
971,90.17377520751953
972,90.169351852417
973,90.18187030029297
974,90.1965177154541
975,90.16540405273437
976,90.17150112915039
977,90.18031954956055
978,90.16800686645507
979,90.15692245483399
980,90.17123049926758
981,90.15486323547363
982,90.1499441986084
983,90.17814733886719
984,90.16388438415527
985,90.15533096313476
986,90.1682299194336
987,90.15479760742187
988,90.14029670715333
989,90.15200514221192
990,90.15383700561523
